[{No.,1
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,53.76
Change,0.00%
Volume,0}
{No.,5185
Ticker,IWF
Company,iShares Russell 1000 Growth ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,451.80
Change,0.55%
Volume,82}
{No.,5186
Ticker,IWFG
Company,NYLI Winslow Focused Large Cap Growth ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,49.25
Change,0.00%
Volume,0}
{No.,5187
Ticker,IWFL
Company,ETRACS 2x Leveraged US Growth Factor TR ETN
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,51.05
Change,0.00%
Volume,0}
{No.,5188
Ticker,IWL
Company,iShares Russell Top 200 ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,168.75
Change,0.00%
Volume,0}
{No.,5189
Ticker,IWLG
Company,NYLI Winslow Large Cap Growth ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,50.65
Change,0.00%
Volume,0}
{No.,5190
Ticker,IWM
Company,iShares Russell 2000 ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,263.40
Change,0.14%
Volume,51725}
{No.,5191
Ticker,IWMI
Company,NEOS Russell 2000 High Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,50.75
Change,0.18%
Volume,1525}
{No.,5192
Ticker,IWML
Company,ETRACS 2x Leveraged US Size Factor TR ETN
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,26.35
Change,0.00%
Volume,0}
{No.,5193
Ticker,IWMW
Company,iShares Russell 2000 BuyWrite ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,39.21
Change,0.00%
Volume,0}
{No.,5194
Ticker,IWMY
Company,Defiance R2000 Weekly Distribution ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,19.98
Change,0.00%
Volume,0}
{No.,5195
Ticker,IWN
Company,iShares Russell 2000 Value ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,199.66
Change,0.00%
Volume,0}
{No.,5196
Ticker,IWO
Company,iShares Russell 2000 Growth ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,335.99
Change,0.21%
Volume,571}
{No.,5197
Ticker,IWP
Company,iShares Russell Mid-Cap Growth ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,134.87
Change,0.00%
Volume,0}
{No.,5198
Ticker,IWR
Company,iShares Russell Mid-Cap ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,101.66
Change,0.00%
Volume,0}
{No.,5199
Ticker,IWS
Company,iShares Russell Mid-Cap Value ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,151.99
Change,0.00%
Volume,0}
{No.,5200
Ticker,IWV
Company,iShares Russell 3000 ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,390.14
Change,0.35%
Volume,256}
{No.,5201
Ticker,IWX
Company,iShares Russell Top 200 Value ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,96.77
Change,0.00%
Volume,0}
{No.,5202
Ticker,IWY
Company,iShares Russell Top 200 Growth ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,262.14
Change,0.00%
Volume,0}
{No.,5203
Ticker,IX
Company,Orix Corporation ADR
Sector,Financial
Industry,Financial Conglomerates
Country,Japan
Market Cap,39023.88
P/E,12.59
Price,35.15
Change,0.00%
Volume,0}
{No.,5204
Ticker,IXC
Company,iShares Global Energy ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,49.47
Change,0.00%
Volume,0}
{No.,5205
Ticker,IXG
Company,iShares Global Financials ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,120.70
Change,0.00%
Volume,0}
{No.,5206
Ticker,IXHL
Company,Incannex Healthcare Inc
Sector,Healthcare
Industry,Drug Manufacturers - Specialty & Generic
Country,Australia
Market Cap,91.16
P/E,
Price,0.26
Change,0.69%
Volume,23725}
{No.,5207
Ticker,IXJ
Company,iShares Global Healthcare ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,101.18
Change,0.00%
Volume,0}
{No.,5208
Ticker,IXN
Company,iShares Global Tech ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,105.94
Change,0.00%
Volume,0}
{No.,5209
Ticker,IXP
Company,iShares Global Comm Services ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,120.05
Change,0.00%
Volume,0}
{No.,5210
Ticker,IXUS
Company,iShares Core MSCI Total International Stock ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,92.41
Change,0.00%
Volume,0}
{No.,5211
Ticker,IYC
Company,iShares U.S. Consumer Discretionary ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,101.41
Change,0.00%
Volume,0}
{No.,5212
Ticker,IYE
Company,iShares U.S. Energy ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,56.79
Change,0.00%
Volume,0}
{No.,5213
Ticker,IYF
Company,iShares U.S. Financials ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,124.84
Change,0.00%
Volume,0}
{No.,5214
Ticker,IYG
Company,iShares U.S. Financial Services ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,88.04
Change,0.00%
Volume,0}
{No.,5215
Ticker,IYH
Company,iShares U.S. Healthcare ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,65.71
Change,0.00%
Volume,0}
{No.,5216
Ticker,IYJ
Company,iShares U.S. Industrials ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,160.23
Change,0.00%
Volume,0}
{No.,5217
Ticker,IYK
Company,iShares U.S. Consumer Staples ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,75.07
Change,0.00%
Volume,0}
{No.,5218
Ticker,IYLD
Company,iShares Morningstar Multi-Asset Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,22.41
Change,0.00%
Volume,0}
{No.,5219
Ticker,IYM
Company,iShares U.S. Basic Materials ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,181.21
Change,0.00%
Volume,0}
{No.,5220
Ticker,IYR
Company,iShares U.S. Real Estate ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,101.21
Change,0.00%
Volume,0}
{No.,5221
Ticker,IYRI
Company,NEOS Real Estate High Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,50.80
Change,0.00%
Volume,0}
{No.,5222
Ticker,IYT
Company,iShares U.S. Transportation ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,80.80
Change,0.00%
Volume,0}
{No.,5223
Ticker,IYW
Company,iShares U.S. Technology ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,190.48
Change,0.00%
Volume,0}
{No.,5224
Ticker,IYY
Company,iShares Dow Jones U.S. ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,166.15
Change,0.00%
Volume,0}
{No.,5225
Ticker,IYZ
Company,iShares U.S. Telecommunications ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,38.53
Change,0.00%
Volume,0}
{No.,5226
Ticker,IZEA
Company,IZEA Worldwide Inc
Sector,Communication Services
Industry,Internet Content & Information
Country,USA
Market Cap,59.43
P/E,
Price,3.47
Change,0.00%
Volume,0}
{No.,5227
Ticker,IZM
Company,Iczoom Group Inc
Sector,Technology
Industry,Electronics & Computer Distribution
Country,China
Market Cap,12.49
P/E,9.75
Price,1.04
Change,0.00%
Volume,0}
{No.,5228
Ticker,IZRL
Company,ARK Israel Innovative Technology ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,28.29
Change,0.00%
Volume,0}
{No.,5229
Ticker,J
Company,Jacobs Solutions Inc
Sector,Industrials
Industry,Engineering & Construction
Country,USA
Market Cap,16026.78
P/E,37.45
Price,136.46
Change,0.00%
Volume,0}
{No.,5230
Ticker,JAAA
Company,Janus Henderson AAA CLO ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,50.73
Change,0.02%
Volume,322}
{No.,5231
Ticker,JABS
Company,Janus Henderson Asset-Backed Securities ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,50.35
Change,0.00%
Volume,0}
{No.,5232
Ticker,JACK
Company,Jack In The Box
Sector,Consumer Cyclical
Industry,Restaurants
Country,USA
Market Cap,407.66
P/E,
Price,21.34
Change,0.00%
Volume,0}
{No.,5233
Ticker,JACS
Company,Jackson Acquisition Company II
Sector,Financial
Industry,Shell Companies
Country,USA
Market Cap,272.73
P/E,42.46
Price,10.51
Change,0.00%
Volume,0}
{No.,5234
Ticker,JADE
Company,JPMorgan Active Developing Markets Equity ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,70.36
Change,0.00%
Volume,0}
{No.,5235
Ticker,JAGU
Company,Jaguar Uranium Corp
Sector,Energy
Industry,Uranium
Country,Canada
Market Cap,61.15
P/E,
Price,3.21
Change,-2.73%
Volume,689}
{No.,5236
Ticker,JAGX
Company,Jaguar Health Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,2.30
P/E,
Price,0.62
Change,0.00%
Volume,0}
{No.,5237
Ticker,JAJL
Company,Innovator Equity Defined Protection ETF - 6mo Jan/Jul
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,29.20
Change,0.00%
Volume,0}
{No.,5238
Ticker,JAKK
Company,Jakks Pacific Inc
Sector,Consumer Cyclical
Industry,Leisure
Country,USA
Market Cap,197.44
P/E,35.62
Price,17.52
Change,0.00%
Volume,0}
{No.,5239
Ticker,JANB
Company,Aptus January Buffer ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.74
Change,0.00%
Volume,0}
{No.,5240
Ticker,JANH
Company,Innovator Premium Income 20 Barrier ETF - January
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,24.66
Change,0.00%
Volume,0}
{No.,5241
Ticker,JANI
Company,AllianzIM International Equity Buffer15 Uncapped Jan ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.66
Change,0.00%
Volume,0}
{No.,5242
Ticker,JANJ
Company,Innovator Premium Income 30 Barrier ETF - January
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,24.68
Change,0.00%
Volume,0}
{No.,5243
Ticker,JANM
Company,FT Vest U.S. Equity Max Buffer ETF - January
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,33.07
Change,0.00%
Volume,0}
{No.,5244
Ticker,JANP
Company,PGIM S&P 500 Buffer 12 ETF - January
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,32.77
Change,0.00%
Volume,0}
{No.,5245
Ticker,JANT
Company,AllianzIM U.S. Equity Buffer10 Jan ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,41.32
Change,0.00%
Volume,0}
{No.,5246
Ticker,JANU
Company,AllianzIM U.S. Equity Buffer15 Uncapped Jan ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,28.12
Change,0.00%
Volume,0}
{No.,5247
Ticker,JANW
Company,AllianzIM U.S. Equity Buffer20 Jan ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,37.09
Change,0.00%
Volume,0}
{No.,5248
Ticker,JANX
Company,Janux Therapeutics Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,794.55
P/E,
Price,13.21
Change,0.00%
Volume,0}
{No.,5249
Ticker,JANZ
Company,TrueShares Structured Outcome (January) ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,38.04
Change,0.00%
Volume,0}
{No.,5250
Ticker,JAPN
Company,Horizon Kinetics Japan Owner Operator ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,24.68
Change,0.00%
Volume,0}
{No.,5251
Ticker,JAVA
Company,JPMorgan Active Value ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,75.92
Change,0.00%
Volume,0}
{No.,5252
Ticker,JAZZ
Company,Jazz Pharmaceuticals plc
Sector,Healthcare
Industry,Biotechnology
Country,Ireland
Market Cap,10207.32
P/E,
Price,167.98
Change,0.00%
Volume,0}
{No.,5253
Ticker,JBBB
Company,Janus Henderson B-BBB CLO ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,47.74
Change,0.00%
Volume,0}
{No.,5254
Ticker,JBDI
Company,JBDI Holdings Ltd
Sector,Consumer Cyclical
Industry,Specialty Retail
Country,USA
Market Cap,
P/E,
Price,0.76
Change,0.00%
Volume,0}
{No.,5255
Ticker,JBGS
Company,JBG SMITH Properties
Sector,Real Estate
Industry,REIT - Office
Country,USA
Market Cap,1163.05
P/E,
Price,15.98
Change,0.00%
Volume,0}
{No.,5256
Ticker,JBHT
Company,J.B. Hunt Transport Services
Sector,Industrials
Industry,Integrated Freight & Logistics
Country,USA
Market Cap,21282.25
P/E,36.38
Price,223.51
Change,0.00%
Volume,0}
{No.,5257
Ticker,JBI
Company,Janus International Group Inc
Sector,Industrials
Industry,Building Products & Equipment
Country,USA
Market Cap,978.72
P/E,20.98
Price,7.05
Change,0.00%
Volume,0}
{No.,5258
Ticker,JBIO
Company,Jade Biosciences Inc
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,639.69
P/E,
Price,13.90
Change,0.00%
Volume,0}
{No.,5259
Ticker,JBL
Company,Jabil Inc
Sector,Technology
Industry,Electronic Components
Country,USA
Market Cap,27180.22
P/E,40.04
Price,257.40
Change,0.00%
Volume,0}
{No.,5260
Ticker,JBLU
Company,Jetblue Airways Corp
Sector,Industrials
Industry,Airlines
Country,USA
Market Cap,2246.63
P/E,
Price,6.07
Change,0.00%
Volume,0}
{No.,5261
Ticker,JBND
Company,JPMorgan Active Bond ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,54.64
Change,0.00%
Volume,0}
{No.,5262
Ticker,JBS
Company,JBS N.V
Sector,Consumer Defensive
Industry,Packaged Foods
Country,Netherlands
Market Cap,17235.07
P/E,10.61
Price,16.13
Change,0.00%
Volume,0}
{No.,5263
Ticker,JBSS
Company,Sanfilippo (John B.) & Son
Sector,Consumer Defensive
Industry,Packaged Foods
Country,USA
Market Cap,932.37
P/E,13.31
Price,79.78
Change,0.00%
Volume,0}
{No.,5264
Ticker,JBTM
Company,JBT Marel Corp
Sector,Industrials
Industry,Specialty Industrial Machinery
Country,USA
Market Cap,8484.85
P/E,
Price,163.26
Change,0.00%
Volume,9}
{No.,5265
Ticker,JCAP
Company,Jefferson Capital Inc
Sector,Financial
Industry,Credit Services
Country,USA
Market Cap,1243.34
P/E,26.08
Price,21.33
Change,0.00%
Volume,0}
{No.,5266
Ticker,JCE
Company,Nuveen Core Equity Alpha Fund
Sector,Financial
Industry,Closed-End Fund - Equity
Country,USA
Market Cap,267.62
P/E,7.19
Price,15.74
Change,0.00%
Volume,0}
{No.,5267
Ticker,JCHI
Company,JPMorgan Active China ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,55.92
Change,0.00%
Volume,0}
{No.,5268
Ticker,JCI
Company,Johnson Controls International plc
Sector,Industrials
Industry,Building Products & Equipment
Country,Ireland
Market Cap,87041.93
P/E,26.75
Price,142.21
Change,0.00%
Volume,0}
{No.,5269
Ticker,JCPB
Company,JPMorgan Core Plus Bond ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,47.90
Change,0.00%
Volume,0}
{No.,5270
Ticker,JCPI
Company,JPMorgan Inflation Managed Bond ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,48.68
Change,0.00%
Volume,0}
{No.,5271
Ticker,JCSE
Company,JE Cleantech Holdings Ltd
Sector,Industrials
Industry,Specialty Industrial Machinery
Country,Singapore
Market Cap,4.11
P/E,
Price,0.82
Change,0.00%
Volume,0}
{No.,5272
Ticker,JCTC
Company,Jewett-Cameron Trading Co. Ltd
Sector,Basic Materials
Industry,Lumber & Wood Production
Country,USA
Market Cap,6.48
P/E,
Price,1.84
Change,0.00%
Volume,0}
{No.,5273
Ticker,JD
Company,JD.com Inc ADR
Sector,Consumer Cyclical
Industry,Internet Retail
Country,China
Market Cap,37401.38
P/E,9.29
Price,27.48
Change,0.55%
Volume,9384}
{No.,5274
Ticker,JDIV
Company,JPMorgan Dividend Leaders ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,56.01
Change,0.00%
Volume,0}
{No.,5275
Ticker,JDOC
Company,JPMorgan Healthcare Leaders ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,59.22
Change,0.00%
Volume,0}
{No.,5276
Ticker,JDST
Company,Direxion Daily Junior Gold Miners Index Bear -2X Shares
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,1.62
Change,-2.99%
Volume,55028}
{No.,5277
Ticker,JDVI
Company,John Hancock Disciplined Value International Select ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,38.86
Change,0.00%
Volume,0}
{No.,5278
Ticker,JDVL
Company,John Hancock Disciplined Value Select ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,28.79
Change,0.00%
Volume,0}
{No.,5279
Ticker,JDZG
Company,Jiade Ltd
Sector,Technology
Industry,Information Technology Services
Country,China
Market Cap,25.95
P/E,
Price,1.11
Change,54.17%
Volume,8385947}
{No.,5280
Ticker,JEDI
Company,Defiance Drone and Modern Warfare ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.76
Change,0.00%
Volume,0}
{No.,5281
Ticker,JEF
Company,Jefferies Financial Group Inc
Sector,Financial
Industry,Capital Markets
Country,USA
Market Cap,10736.40
P/E,18.36
Price,51.98
Change,0.00%
Volume,0}
{No.,5282
Ticker,JELD
Company,JELD-WEN Holding Inc
Sector,Industrials
Industry,Building Products & Equipment
Country,USA
Market Cap,179.40
P/E,
Price,2.10
Change,0.00%
Volume,0}
{No.,5283
Ticker,JEM
Company,707 Cayman Holdings Ltd
Sector,Consumer Cyclical
Industry,Apparel Retail
Country,USA
Market Cap,
P/E,
Price,0.12
Change,0.00%
Volume,0}
{No.,5284
Ticker,JEMA
Company,JPMorgan ActiveBuilders Emerging Markets Equity ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,55.35
Change,0.00%
Volume,0}
{No.,5285
Ticker,JEMB
Company,Janus Henderson Emerging Markets Debt Hard Currency ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,54.77
Change,0.00%
Volume,0}
{No.,5286
Ticker,JENA
Company,Jena Acquisition Corporation II
Sector,Financial
Industry,Shell Companies
Country,USA
Market Cap,297.86
P/E,
Price,10.28
Change,0.00%
Volume,0}
{No.,5287
Ticker,JEPI
Company,JPMorgan Equity Premium Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,59.42
Change,0.37%
Volume,4301}
{No.,5288
Ticker,JEPQ
Company,JPMorgan Nasdaq Equity Premium Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,57.74
Change,0.47%
Volume,22730}
{No.,5289
Ticker,JETD
Company,MAX Airlines -3X Inverse Leveraged ETNs
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,3.28
Change,0.00%
Volume,0}
{No.,5290
Ticker,JETS
Company,ESS U.S.Global Jets ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,30.17
Change,0.00%
Volume,0}
{No.,5291
Ticker,JETU
Company,MAX Airlines 3X Leveraged ETNs
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,39.74
Change,0.00%
Volume,0}
{No.,5292
Ticker,JF
Company,J and Friends Holdings Ltd. ADR
Sector,Financial
Industry,Credit Services
Country,China
Market Cap,13.68
P/E,
Price,0.95
Change,0.00%
Volume,0}
{No.,5293
Ticker,JFB
Company,JFB Construction Holdings
Sector,Real Estate
Industry,Real Estate - Development
Country,USA
Market Cap,116.19
P/E,
Price,19.00
Change,11.76%
Volume,4132}
{No.,5294
Ticker,JFBR
Company,Jeffs Brands Ltd
Sector,Consumer Cyclical
Industry,Internet Retail
Country,Israel
Market Cap,3.27
P/E,
Price,5.11
Change,10.85%
Volume,126}
{No.,5295
Ticker,JFIN
Company,Jiayin Group Inc ADR
Sector,Communication Services
Industry,Internet Content & Information
Country,China
Market Cap,162.18
P/E,1.37
Price,6.15
Change,0.00%
Volume,0}
{No.,5296
Ticker,JFLI
Company,JPMorgan Flexible Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,52.03
Change,0.00%
Volume,0}
{No.,5297
Ticker,JFLX
Company,JPMorgan Flexible Debt ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,50.79
Change,0.00%
Volume,0}
{No.,5298
Ticker,JFR
Company,Nuveen Floating Rate Income Fund
Sector,Financial
Industry,Closed-End Fund - Debt
Country,USA
Market Cap,1236.23
P/E,13.71
Price,7.68
Change,0.00%
Volume,0}
{No.,5299
Ticker,JFU
Company,9F Inc ADR
Sector,Technology
Industry,Information Technology Services
Country,China
Market Cap,37.93
P/E,1.45
Price,4.35
Change,0.00%
Volume,0}
{No.,5300
Ticker,JG
Company,Aurora Mobile Ltd ADR
Sector,Technology
Industry,Software - Application
Country,China
Market Cap,38.79
P/E,
Price,8.20
Change,0.00%
Volume,0}
{No.,5301
Ticker,JGH
Company,Nuveen Global High Income Fund
Sector,Financial
Industry,Closed-End Fund - Debt
Country,USA
Market Cap,297.83
P/E,7.88
Price,12.85
Change,0.00%
Volume,0}
{No.,5302
Ticker,JGLO
Company,JPMorgan Global Select Equity ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,69.08
Change,0.00%
Volume,0}
{No.,5303
Ticker,JGRO
Company,JPMorgan Active Growth ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,88.56
Change,0.36%
Volume,16104}
{No.,5304
Ticker,JGRW
Company,Jensen Quality Growth ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.67
Change,0.00%
Volume,0}
{No.,5305
Ticker,JHAC
Company,John Hancock Fundamental All Cap Core ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,14.48
Change,0.00%
Volume,0}
{No.,5306
Ticker,JHAI
Company,Janus Henderson Global Artificial Intelligence ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,27.13
Change,0.00%
Volume,0}
{No.,5307
Ticker,JHCB
Company,John Hancock Corporate Bond ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,21.76
Change,0.00%
Volume,0}
{No.,5308
Ticker,JHCP
Company,John Hancock Core Plus Bond ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.72
Change,0.00%
Volume,0}
{No.,5309
Ticker,JHCR
Company,John Hancock Core Bond ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.71
Change,0.00%
Volume,0}
{No.,5310
Ticker,JHDV
Company,John Hancock U.S. High Dividend ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,42.02
Change,0.00%
Volume,0}
{No.,5311
Ticker,JHEM
Company,John Hancock Multifactor Emerging Markets ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,36.29
Change,0.00%
Volume,0}
{No.,5312
Ticker,JHG
Company,Janus Henderson Group plc
Sector,Financial
Industry,Asset Management
Country,United Kingdom
Market Cap,7626.74
P/E,9.43
Price,49.50
Change,0.00%
Volume,0}
{No.,5313
Ticker,JHHY
Company,John Hancock High Yield ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.91
Change,0.00%
Volume,0}
{No.,5314
Ticker,JHI
Company,John Hancock Investors Trust
Sector,Financial
Industry,Closed-End Fund - Debt
Country,USA
Market Cap,121.64
P/E,11.99
Price,13.91
Change,0.00%
Volume,0}
{No.,5315
Ticker,JHID
Company,John Hancock International High Dividend ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,42.05
Change,0.00%
Volume,0}
{No.,5316
Ticker,JHLN
Company,John Hancock Global Senior Loan ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,24.66
Change,0.00%
Volume,0}
{No.,5317
Ticker,JHMB
Company,John Hancock Mortgage-Backed Securities ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,22.48
Change,0.00%
Volume,0}
{No.,5318
Ticker,JHMD
Company,John Hancock Multifactor Developed International ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,45.22
Change,0.00%
Volume,0}
{No.,5319
Ticker,JHML
Company,John Hancock Multifactor Large Cap ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,81.77
Change,0.00%
Volume,0}
{No.,5320
Ticker,JHMM
Company,John Hancock Multifactor Mid Cap ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,70.50
Change,0.00%
Volume,0}
{No.,5321
Ticker,JHMU
Company,John Hancock Dynamic Municipal Bond ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,26.61
Change,0.00%
Volume,0}
{No.,5322
Ticker,JHPI
Company,John Hancock Preferred Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,23.28
Change,0.00%
Volume,0}
{No.,5323
Ticker,JHS
